"","gene.name.list"
"126","Ald"
"127","Aldh"
"128","Aldh-III"
"129","Alg10"
"130","Alg-2"
"131","Alh"
"132","alien"
"133","ALiX"
"134","Alk"
"135","AlkB"
"136","alph"
"137","alpha4GT1"
"138","alpha-Cat"
"139","alphaCOP"
"140","alpha-Est1"
"141","alpha-Est2"
"142","alpha-Est3"
"143","alpha-Est5"
"144","alpha-Est6"
"145","alphagamma-element:CR32865"
"146","alpha-Man-I"
"147","alpha-Man-Ib"
"148","alpha-Man-II"
"149","alpha-Man-IIb"
"150","alphaSnap"
"151","alpha-Spec"
"152","alphaTub67C"
"153","alphaTub84B"
"154","alphaTub84D"
"155","alphaTub85E"
"156","Alr"
"157","alt"
"158","Ama"
"159","amd"
"160","amn"
"161","amon"
"162","amos"
"163","AMPdeam"
"164","Amph"
"165","AMPKalpha"
"166","Amun"
"167","amx"
"168","ana"
"169","ana1"
"170","ana2"
"171","ana3"
"172","Ance"
"173","Ance-2"
"174","Ance-3"
"175","angel"
"176","Ank"
"177","Ank2"
"178","Anp"
"179","Ant2"
"180","Antp"
"181","antr"
"182","AnxB11"
"183","AnxB9"
"184","aop"
"185","aos"
"186","Aos1"
"187","AOX1"
"188","AOX3"
"189","ap"
"190","AP-1-2beta"
"191","AP-1gamma"
"192","AP-1mu"
"193","AP-1sigma"
"194","AP-2alpha"
"195","AP-2mu"
"196","AP-2sigma"
"197","Apc"
"198","APC10"
"199","Apc2"
"200","APC4"
"201","APC7"
"202","ApepP"
"203","Apf"
"204","aph-1"
"205","aPKC"
"206","app"
"207","APP-BP1"
"208","Appl"
"209","Aprt"
"210","Aps"
"211","apt"
"212","ara"
"213","Arc1"
"214","Arc42"
"215","aret"
"216","Arf102F"
"217","Arf51F"
"218","Arf79F"
"219","ArfGAP1"
"220","ArfGAP3"
"221","Arfip"
"222","Arfrp1"
"223","arg"
"224","Argk"
"225","ari-1"
"226","ari-2"
"227","Arl1"
"228","Arl2"
"229","Arl4"
"230","Arl6"
"231","arm"
"232","armi"
"233","Arp1"
"234","Arp10"
"235","Arp2"
"236","Arp3"
"237","Arp5"
"238","Arp53D"
"239","Arp6"
"240","Arp8"
"241","Arpc1"
"242","Arpc2"
"243","Arpc3A"
"244","Arpc3B"
"245","Arpc4"
"246","Arpc5"
"247","arr"
"248","Arr2"
"249","Ars2"
"250","Art1"
"251","Art2"
"252","Art3"
"253","Art4"
"254","Art7"
"255","Art8"
"256","aru"
"257","arx"
"258","Asap"
"259","Asator"
"260","Asciz"
"261","asf1"
"262","ash1"
"263","ash2"
"264","asl"
"265","asp"
"266","asparagine-synthetase"
"267","Asph"
"268","ASPP"
"269","asrij"
"270","ast"
"271","AstA"
"272","AstA-R1"
"273","AstC"
"274","AstC-R1"
"275","AstC-R2"
"276","asun"
"277","Asx"
"278","Atac1"
"279","Atac2"
"280","Atac3"
"281","ATbp"
"282","Ate1"
"283","Atet"
"284","Atf-2"
"285","Atf3"
"286","Atf6"
"287","Atg1"
"288","Atg10"
"289","Atg101"
"290","Atg12"
"291","Atg13"
"292","Atg14"
"293","Atg16"
"294","Atg17"
"295","Atg18a"
"296","Atg18b"
"297","Atg2"
"298","Atg3"
"299","Atg4a"
"300","Atg4b"
"301","Atg5"
"302","Atg6"
"303","Atg7"
"304","Atg8a"
"305","Atg9"
"306","atl"
"307","atms"
"308","ato"
"309","Atox1"
"310","ATP7"
"311","ATP8B"
"312","Atpalpha"
"313","ATPCL"
"314","ATPsyn-b"
"315","ATPsyn-beta"
"316","ATPsyn-Cf6"
"317","ATPsyn-d"
"318","ATPsyn-gamma"
"319","att-ORFA"
"320","Atu"
"321","Atx-1"
"322","Atx2"
"323","Atxn7"
"324","aub"
"325","aurA"
"326","aurB"
"327","aust"
"328","aux"
"329","ave"
"330","Aven"
"331","awd"
"332","Awh"
"333","Axn"
"334","axo"
"335","Axs"
"336","Axud1"
"337","az2"
"338","B4"
"339","B52"
"340","bab2"
"341","babo"
"342","babos"
"343","Bacc"
"344","baf"
"345","bai"
"346","Baldspot"
"347","ball"
"348","bam"
"349","bap"
"350","Bap170"
"351","Bap55"
"352","Bap60"
"353","barc"
"354","barr"
"355","baz"
"356","bbc"
"357","bbg"
"358","BBS4"
"359","BBS8"
"360","bc10"
"361","BCAS2"
"362","bchs"
"363","BCL7-like"
"364","bcn92"
"365","Bdbt"
"366","bdg"
"367","be"
"368","BEAF-32"
"369","beag"
"370","beat-IIIc"
"371","beat-Vc"
"372","beat-VII"
"373","beg"
"374","bel"
"375","Bem46"
"376","ben"
"377","Best1"
"378","Best2"
"379","Bet1"
"380","Bet3"
"381","Bet5"
"382","beta3GalTII"
"383","beta4GalNAcTA"
"384","beta4GalNAcTB"
"385","beta4GalT7"
"386","betaCOP"
"387","beta'COP"
"388","betaggt-I"
"389","betaggt-II"
"390","beta-Spec"
"391","betaTub56D"
"392","betaTub60D"
"393","betaTub85D"
"394","betaTub97EF"
"395","Bgb"
"396","bgcn"
"397","bgm"
"398","B-H1"
"399","B-H2"
"400","BHD"
"401","bi"
"402","BI-1"
"403","bib"
"404","bic"
"405","BicD"
"406","bif"
"407","BigH1"
"408","bigmax"
"409","Bili"
"410","Bin1"
"411","bin3"
"412","bip2"
"413","Bka"
"414","bl"
"415","blanks"
"416","Blimp-1"
"417","Blm"
"418","Blos1"
"419","Blos2"
"420","Blos3"
"421","Blos4"
"422","blot"
"423","blp"
"424","blue"
"425","blw"
"426","BM-40-SPARC"
"427","Bmcp"
"428","bmm"
"429","bnb"
"430","bnk"
"431","bnl"
"432","BobA"
"433","boca"
"434","bocksbeutel"
"435","boi"
"436","bol"
"437","boly"
"438","bon"
"439","bonsai"
"440","bor"
"441","bora"
"442","borr"
"443","botv"
"444","bou"
"445","bowl"
"446","BoYb"
"447","br"
"448","Br140"
"449","brat"
"450","Brca2"
"451","Brd"
"452","Brd8"
"453","Bre1"
"454","Brf"
"455","brk"
"456","brm"
"457","Brms1"
"458","brn"
"459","Bro"
"460","brp"
"461","bru"
"462","bru-2"
"463","bru-3"
"464","Bruce"
"465","BRWD3"
"466","bs"
"467","bsf"
"468","Bsg"
"469","Bsg25A"
"470","Bsg25D"
"471","bsk"
"472","bt"
"473","BTBD9"
"474","BtbVII"
"475","btd"
"476","Bteb2"
"477","BthD"
"478","Btk29A"
"479","btl"
"480","btn"
"481","btsz"
"482","btv"
"483","btz"
"484","Bub1"
"485","Bub3"
"486","BubR1"
"487","Buffy"
"488","Bug22"
"489","bun"
"490","bur"
"491","Burs"
"492","bves"
"493","bw"
"494","bwa"
"495","Bx"
"496","Bx42"
"497","bxd"
"498","byn"
"499","bys"
"500","Bzd"
"501","c11.1"
"502","c12.1"
"503","c12.2"
"504","C15"
"505","C1GalTA"
"506","c(2)M"
"507","c(3)G"
"508","C3G"
"509","ca"
"510","Ca-alpha1D"
"511","Ca-alpha1T"
"512","Ca-beta"
"513","CaBP1"
"514","cac"
"515","cact"
"516","cactin"
"517","cad"
"518","Cad74A"
"519","Cad87A"
"520","Cad88C"
"521","Cad96Ca"
"522","Cad99C"
"523","CadN"
"524","Caf1"
"525","Caf1-105"
"526","Caf1-180"
"527","cag"
"528","CAHbeta"
"529","cal1"
"530","CalpA"
"531","CalpB"
"532","CalpC"
"533","Cals"
"534","calypso"
"535","Cam"
"536","CaMKI"
"537","CaMKII"
"538","Camta"
"539","cana"
"540","CanA-14F"
"541","CanB2"
"542","Cand1"
"543","CAP"
"544","Ca-P60A"
"545","Cap-D2"
"546","Cap-D3"
"547","Caper"
"548","Cap-G"
"549","Cap-H2"
"550","Capr"
"551","caps"
"552","Caps"
"553","capt"
"554","capu"
"555","car"
"556","cas"
"557","Cas"
"558","CASK"
"559","casp"
"560","Cat"
"561","cathD"
"562","Catsup"
"563","caup"
"564","cav"
"565","caz"
"566","cbc"
"567","Cbl"
"568","CBP"
"569","Cbp20"
"570","Cbp53E"
"571","Cbp80"
"572","cbs"
"573","Cbs"
"574","cbx"
"575","Cby"
"576","CCAP"
"577","Cchl"
"578","CCKLR-17D1"
"579","Ccm3"
"580","Ccs"
"581","Cct1"
"582","Cct5"
"583","Cctgamma"
"584","Ccz1"
"585","cd"
"586","CD98hc"
"587","Cda5"
"588","CDase"
"589","cdc14"
"590","Cdc16"
"591","Cdc23"
"592","Cdc27"
"593","cdc2rk"
"594","Cdc37"
"595","Cdc42"
"596","CDC45L"
"597","Cdc5"
"598","Cdc6"
"599","Cdep"
"600","CdGAPr"
"601","cdi"
"602","Cdk1"
"603","Cdk12"
"604","Cdk2"
"605","Cdk4"
"606","Cdk5"
"607","Cdk5alpha"
"608","Cdk7"
"609","Cdk8"
"610","Cdk9"
"611","Cdlc2"
"612","cdm"
"613","CdsA"
"614","Ced-12"
"615","ced-6"
"616","Cen"
"617","CenB1A"
"618","CenG1A"
"619","Cenp-C"
"620","Cep135"
"621","Cep89"
"622","Cep97"
"623","cer"
"624","Cerk"
"625","cert"
"626","cerv"
"627","Cf2"
"628","Cfp1"
"629","cg"
"630","CG10005"
"631","CG10011"
"632","CG10013"
"633","CG10026"
"634","CG10035"
"635","CG10038"
"636","CG10041"
"637","CG10050"
"638","CG10051"
"639","CG10053"
"640","CG10055"
"641","CG10063"
"642","CG10064"
"643","CG10068"
"644","CG10073"
"645","CG10075"
"646","CG10077"
"647","CG10082"
"648","CG10089"
"649","CG10092"
"650","CG10098"
"651","CG10103"
"652","CG10133"
"653","CG10139"
"654","CG10140"
"655","CG10144"
"656","CG10147"
"657","CG10151"
"658","CG10165"
"659","CG10166"
"660","CG10171"
"661","CG10176"
"662","CG10178"
"663","CG10184"
"664","CG10185"
"665","CG10188"
"666","CG10189"
"667","CG10194"
"668","CG10195"
"669","CG10208"
"670","CG10209"
"671","CG10214"
"672","CG10217"
"673","CG10219"
"674","CG10222"
"675","CG10232"
"676","CG10237"
"677","CG1024"
"678","CG10249"
"679","CG10253"
"680","CG10254"
"681","CG10262"
"682","CG10264"
"683","CG10265"
"684","CG10268"
"685","CG10274"
"686","CG10283"
"687","CG10286"
"688","CG10289"
"689","CG10306"
"690","CG10307"
"691","CG10311"
"692","CG10320"
"693","CG10321"
"694","CG10324"
"695","CG10326"
"696","CG10333"
"697","CG10336"
"698","CG10337"
"699","CG10338"
"700","CG10340"
"701","CG10341"
"702","CG10343"
"703","CG10347"
"704","CG10353"
"705","CG10362"
"706","CG10365"
"707","CG10366"
"708","CG10375"
"709","CG10376"
"710","CG10383"
"711","CG10395"
"712","CG10396"
"713","CG10399"
"714","CG10405"
"715","CG10407"
"716","CG1041"
"717","CG10413"
"718","CG10417"
"719","CG10418"
"720","CG10420"
"721","CG10424"
"722","CG10425"
"723","CG10426"
"724","CG10428"
"725","CG10431"
"726","CG10435"
"727","CG10444"
"728","CG10445"
"729","CG10462"
"730","CG10463"
"731","CG10465"
"732","CG10466"
"733","CG10467"
"734","CG10469"
"735","CG10470"
"736","CG10472"
"737","CG10479"
"738","CG10492"
"739","CG10494"
"740","CG10495"
"741","CG10505"
"742","CG10508"
"743","CG10516"
"744","CG10527"
"745","CG10543"
"746","CG10550"
"747","CG10553"
"748","CG10555"
"749","CG10561"
"750","CG10565"
"751","CG10566"
"752","CG10576"
"753","CG10581"
"754","CG10584"
"755","CG10585"
"756","CG10590"
"757","CG10600"
"758","CG10602"
"759","CG10616"
"760","CG10621"
"761","CG10623"
"762","CG10628"
"763","CG10631"
"764","CG10635"
"765","CG10638"
"766","CG10639"
"767","CG10646"
"768","CG10650"
"769","CG10654"
"770","CG10663"
"771","CG10669"
"772","CG10671"
"773","CG10672"
"774","CG10674"
"775","CG10681"
"776","CG10688"
"777","CG10694"
"778","CG10702"
"779","CG10721"
"780","CG10731"
"781","CG10732"
"782","CG10734"
"783","CG10737"
"784","CG10738"
"785","CG1074"
"786","CG10747"
"787","CG10754"
"788","CG10761"
"789","CG10777"
"790","CG10778"
"791","CG10795"
"792","CG10802"
"793","CG10803"
"794","CG10809"
"795","CG10859"
"796","CG10863"
"797","CG10864"
"798","CG10866"
"799","CG10874"
"800","CG10877"
"801","CG10880"
"802","CG10889"
"803","CG10898"
"804","CG1090"
"805","CG10903"
"806","CG10904"
"807","CG10907"
"808","CG1091"
"809","CG10914"
"810","CG10915"
"811","CG10916"
"812","CG10919"
"813","CG10924"
"814","CG10927"
"815","CG10933"
"816","CG10936"
"817","CG10948"
"818","CG10949"
"819","CG10958"
"820","CG10959"
"821","CG10973"
"822","CG10979"
"823","CG10984"
"824","CG10993"
"825","CG11000"
"826","CG11007"
"827","CG11018"
"828","CG1103"
"829","CG11030"
"830","CG11034"
"831","CG11035"
"832","CG1104"
"833","CG11043"
"834","CG1105"
"835","CG11050"
"836","CG11070"
"837","CG11076"
"838","CG11077"
"839","CG11089"
"840","CG1109"
"841","CG11095"
"842","CG11103"
"843","CG11107"
"844","CG11109"
"845","CG11110"
"846","CG11122"
"847","CG11123"
"848","CG11125"
"849","CG11127"
"850","CG11134"
"851","CG11137"
"852","CG11138"
"853","CG11141"
"854","CG11148"
"855","CG11151"
"856","CG11155"
"857","CG11158"
"858","CG1116"
"859","CG11160"
"860","CG11164"
"861","CG11168"
"862","CG11170"
"863","CG11178"
"864","CG11180"
"865","CG11190"
"866","CG11200"
"867","CG11208"
"868","CG11210"
"869","CG11211"
"870","CG1124"
"871","CG11241"
"872","CG11247"
"873","CG11248"
"874","CG11257"
"875","CG1126"
"876","CG11261"
"877","CG11263"
"878","CG11267"
"879","CG11275"
"880","CG11279"
"881","CG11284"
"882","CG1129"
"883","CG11306"
"884","CG11307"
"885","CG11309"
"886","CG11327"
"887","CG11334"
"888","CG11337"
"889","CG11342"
"890","CG11357"
"891","CG11360"
"892","CG11367"
"893","CG11374"
"894","CG11377"
"895","CG11382"
"896","CG11388"
"897","CG1139"
"898","CG11396"
"899","CG11398"
"900","CG11399"
"901","CG11403"
"902","CG11404"
"903","CG11409"
"904","CG11412"
"905","CG11414"
"906","CG11417"
"907","CG11418"
"908","CG1142"
"909","CG1143"
"910","CG11436"
"911","CG11444"
"912","CG11447"
"913","CG11448"
"914","CG11454"
"915","CG11455"
"916","CG11456"
"917","CG1146"
"918","CG11470"
"919","CG11474"
"920","CG11486"
"921","CG11498"
"922","CG11504"
"923","CG11505"
"924","CG11523"
"925","CG11534"
"926","CG11537"
"927","CG11539"
"928","CG11555"
"929","CG11560"
"930","CG11562"
"931","CG11563"
"932","CG11576"
"933","CG11577"
"934","CG11583"
"935","CG11586"
"936","CG11590"
"937","CG11593"
"938","CG11594"
"939","CG11596"
"940","CG11597"
"941","CG11598"
"942","CG11601"
"943","CG11608"
"944","CG1161"
"945","CG11617"
"946","CG11638"
"947","CG11652"
"948","CG11655"
"949","CG11658"
"950","CG11665"
"951","CG11668"
"952","CG11670"
"953","CG11674"
"954","CG11679"
"955","CG11686"
"956","CG11693"
"957","CG11694"
"958","CG11695"
"959","CG11696"
"960","CG11697"
"961","CG11699"
"962","CG11700"
"963","CG11703"
"964","CG11710"
"965","CG1172"
"966","CG11722"
"967","CG11723"
"968","CG11737"
"969","CG11739"
"970","CG11752"
"971","CG11753"
"972","CG11755"
"973","CG11756"
"974","CG11760"
"975","CG11771"
"976","CG11777"
"977","CG11779"
"978","CG11781"
"979","CG11788"
"980","CG11790"
"981","CG11791"
"982","CG11796"
"983","CG11802"
"984","CG11807"
"985","CG11808"
"986","CG11811"
"987","CG11825"
"988","CG11835"
"989","CG11836"
"990","CG11837"
"991","CG11839"
"992","CG11842"
"993","CG11843"
"994","CG11851"
"995","CG11852"
"996","CG11857"
"997","CG11858"
"998","CG11873"
"999","CG11876"
"1000","CG11880"
"1001","CG11882"
"1002","CG11885"
"1003","CG11897"
"1004","CG11899"
"1005","CG11902"
"1006","CG11905"
"1007","CG11906"
"1008","CG11920"
"1009","CG11927"
"1010","CG11929"
"1011","CG11961"
"1012","CG11964"
"1013","CG11966"
"1014","CG11970"
"1015","CG11975"
"1016","CG11980"
"1017","CG11982"
"1018","CG11983"
"1019","CG11984"
"1020","CG11985"
"1021","CG11986"
"1022","CG11999"
"1023","CG12004"
"1024","CG12006"
"1025","CG12007"
"1026","CG12010"
"1027","CG12012"
"1028","CG12014"
"1029","CG12018"
"1030","CG12020"
"1031","CG12024"
"1032","CG12025"
"1033","CG12034"
"1034","CG12038"
"1035","CG12042"
"1036","CG12050"
"1037","CG12054"
"1038","CG12056"
"1039","CG12061"
"1040","CG12065"
"1041","CG12071"
"1042","CG12075"
"1043","CG12081"
"1044","CG12082"
"1045","CG12084"
"1046","CG12090"
"1047","CG12091"
"1048","CG12093"
"1049","CG12096"
"1050","CG12099"
"1051","CG12104"
"1052","CG12105"
"1053","CG12106"
"1054","CG12107"
"1055","CG12112"
"1056","CG12118"
"1057","CG12119"
"1058","CG12121"
"1059","CG12125"
"1060","CG12128"
"1061","CG12129"
"1062","CG12133"
"1063","CG12134"
"1064","CG12155"
"1065","CG12159"
"1066","CG12162"
"1067","CG12163"
"1068","CG12164"
"1069","CG12170"
"1070","CG12171"
"1071","CG12173"
"1072","CG12177"
"1073","CG12179"
"1074","CG1218"
"1075","CG12182"
"1076","CG12184"
"1077","CG12194"
"1078","CG12200"
"1079","CG12203"
"1080","CG12204"
"1081","CG12207"
"1082","CG12209"
"1083","CG12213"
"1084","CG12219"
"1085","CG12236"
"1086","CG12237"
"1087","CG12239"
"1088","CG12241"
"1089","CG12253"
"1090","CG12259"
"1091","CG12262"
"1092","CG12263"
"1093","CG12264"
"1094","CG12267"
"1095","CG12269"
"1096","CG1227"
"1097","CG12272"
"1098","CG12279"
"1099","CG12288"
"1100","CG12299"
"1101","CG12301"
"1102","CG12304"
"1103","CG12316"
"1104","CG12320"
"1105","CG12321"
"1106","CG12325"
"1107","CG1233"
"1108","CG12333"
"1109","CG12338"
"1110","CG1234"
"1111","CG12341"
"1112","CG12343"
"1113","CG12344"
"1114","CG1236"
"1115","CG12360"
"1116","CG12374"
"1117","CG12375"
"1118","CG12379"
"1119","CG12384"
"1120","CG1239"
"1121","CG12391"
"1122","CG12393"
"1123","CG12400"
"1124","CG12402"
"1125","CG12404"
"1126","CG12413"
"1127","CG12420"
"1128","CG12428"
"1129","CG12479"
"1130","CG12484"
"1131","CG12493"
"1132","CG12496"
"1133","CG12499"
"1134","CG12519"
"1135","CG12531"
"1136","CG12535"
"1137","CG12541"
"1138","CG12547"
"1139","CG12560"
"1140","CG12567"
"1141","CG12576"
"1142","CG12581"
"1143","CG12582"
"1144","CG12592"
"1145","CG12594"
"1146","CG12608"
"1147","CG12643"
"1148","CG1265"
"1149","CG12655"
"1150","CG12659"
"1151","CG12691"
"1152","CG12698"
"1153","CG12702"
"1154","CG12708"
"1155","CG1271"
"1156","CG12713"
"1157","CG12715"
"1158","CG12717"
"1159","CG12721"
"1160","CG12725"
"1161","CG12728"
"1162","CG1273"
"1163","CG12730"
"1164","CG12736"
"1165","CG12744"
"1166","CG12746"
"1167","CG1275"
"1168","CG12768"
"1169","CG12772"
"1170","CG12773"
"1171","CG12795"
"1172","CG12814"
"1173","CG12817"
"1174","CG12818"
"1175","CG12822"
"1176","CG12826"
"1177","CG12848"
"1178","CG12857"
"1179","CG12859"
"1180","CG12863"
"1181","CG12868"
"1182","CG12877"
"1183","CG12883"
"1184","CG12895"
"1185","CG12896"
"1186","CG12909"
"1187","CG1291"
"1188","CG12910"
"1189","CG12913"
"1190","CG12920"
"1191","CG12929"
"1192","CG12935"
"1193","CG12942"
"1194","CG12945"
"1195","CG12947"
"1196","CG12948"
"1197","CG12950"
"1198","CG12963"
"1199","CG12964"
"1200","CG12970"
"1201","CG12974"
"1202","CG12975"
"1203","CG12983"
"1204","CG12984"
"1205","CG12985"
"1206","CG12986"
"1207","CG12990"
"1208","CG12991"
"1209","CG13000"
"1210","CG13001"
"1211","CG13003"
"1212","CG13004"
"1213","CG13005"
"1214","CG13010"
"1215","CG13014"
"1216","CG13016"
"1217","CG13018"
"1218","CG13022"
"1219","CG13023"
"1220","CG13025"
"1221","CG13029"
"1222","CG13032"
"1223","CG13033"
"1224","CG1307"
"1225","CG13074"
"1226","CG13077"
"1227","CG13084"
"1228","CG13086"
"1229","CG13088"
"1230","CG1309"
"1231","CG13090"
"1232","CG13091"
"1233","CG13096"
"1234","CG13097"
"1235","CG13101"
"1236","CG13108"
"1237","CG1311"
"1238","CG13123"
"1239","CG13124"
"1240","CG13126"
"1241","CG13144"
"1242","CG13148"
"1243","CG13151"
"1244","CG13154"
"1245","CG1316"
"1246","CG13163"
"1247","CG1317"
"1248","CG13177"
"1249","CG13183"
"1250","CG13185"
"1251","CG13188"
"1252","CG1319"
"1253","CG13192"
"1254","CG13196"
"1255","CG13197"
"1256","CG13204"
"1257","CG13216"
"1258","CG13217"
"1259","CG13220"
"1260","CG1324"
"1261","CG13248"
"1262","CG13251"
"1263","CG13255"
"1264","CG13284"
"1265","CG13293"
"1266","CG13295"
"1267","CG13298"
"1268","CG13300"
"1269","CG13319"
"1270","CG13321"
"1271","CG13322"
"1272","CG13337"
"1273","CG13339"
"1274","CG13344"
"1275","CG13358"
"1276","CG13359"
"1277","CG13362"
"1278","CG13364"
"1279","CG13365"
"1280","CG13366"
"1281","CG13367"
"1282","CG13369"
"1283","CG13373"
"1284","CG13375"
"1285","CG13377"
"1286","CG13384"
"1287","CG13390"
"1288","CG13392"
"1289","CG13397"
"1290","CG13398"
"1291","CG13405"
"1292","CG13409"
"1293","CG13423"
"1294","CG13427"
"1295","CG13428"
"1296","CG13437"
"1297","CG1344"
"1298","CG13454"
"1299","CG13457"
"1300","CG13465"
"1301","CG13481"
"1302","CG13484"
"1303","CG13501"
"1304","CG13527"
"1305","CG13531"
"1306","CG1354"
"1307","CG13540"
"1308","CG13551"
"1309","CG13561"
"1310","CG13562"
"1311","CG13565"
"1312","CG1358"
"1313","CG13585"
"1314","CG13599"
"1315","CG1360"
"1316","CG13601"
"1317","CG13603"
"1318","CG13604"
"1319","CG13605"
"1320","CG13609"
"1321","CG13617"
"1322","CG13618"
"1323","CG13622"
"1324","CG13623"
"1325","CG13624"
"1326","CG13625"
"1327","CG13630"
"1328","CG13631"
"1329","CG13653"
"1330","CG13654"
"1331","CG13663"
"1332","CG13667"
"1333","CG13671"
"1334","CG13675"
"1335","CG13679"
"1336","CG13689"
"1337","CG13690"
"1338","CG13692"
"1339","CG13694"
"1340","CG13698"
"1341","CG1371"
"1342","CG13711"
"1343","CG13712"
"1344","CG13713"
"1345","CG13738"
"1346","CG13739"
"1347","CG13741"
"1348","CG13742"
"1349","CG13749"
"1350","CG13751"
"1351","CG13760"
"1352","CG13766"
"1353","CG13773"
"1354","CG13775"
"1355","CG13784"
"1356","CG13794"
"1357","CG13807"
"1358","CG13827"
"1359","CG13830"
"1360","CG13838"
"1361","CG13847"
"1362","CG13850"
"1363","CG13856"
"1364","CG13865"
"1365","CG13868"
"1366","CG1387"
"1367","CG13876"
"1368","CG13887"
"1369","CG13889"
"1370","CG13890"
"1371","CG13893"
"1372","CG13894"
"1373","CG13895"
"1374","CG13896"
"1375","CG13900"
"1376","CG13901"
"1377","CG13902"
"1378","CG13912"
"1379","CG13917"
"1380","CG13919"
"1381","CG13920"
"1382","CG13921"
"1383","CG13926"
"1384","CG13928"
"1385","CG13933"
"1386","CG13937"
"1387","CG13957"
"1388","CG1399"
"1389","CG13993"
"1390","CG13994"
"1391","CG14005"
"1392","CG14014"
"1393","CG14015"
"1394","CG1402"
"1395","CG14024"
"1396","CG14036"
"1397","CG14040"
"1398","CG14043"
"1399","CG14050"
"1400","CG14057"
"1401","CG1407"
"1402","CG14073"
"1403","CG14074"
"1404","CG14089"
"1405","CG14100"
"1406","CG14102"
"1407","CG14103"
"1408","CG14104"
"1409","CG14107"
"1410","CG14110"
"1411","CG14111"
"1412","CG14115"
"1413","CG14117"
"1414","CG14130"
"1415","CG14135"
"1416","CG14143"
"1417","CG1416"
"1418","CG14174"
"1419","CG1418"
"1420","CG14182"
"1421","CG14183"
"1422","CG14184"
"1423","CG14194"
"1424","CG14196"
"1425","CG14200"
"1426","CG14204"
"1427","CG14205"
"1428","CG14207"
"1429","CG14210"
"1430","CG14212"
"1431","CG14215"
"1432","CG14218"
"1433","CG14220"
"1434","CG14221"
"1435","CG14223"
"1436","CG14229"
"1437","CG14230"
"1438","CG14231"
"1439","CG14232"
"1440","CG14244"
"1441","CG14252"
"1442","CG14260"
"1443","CG1427"
"1444","CG14270"
"1445","CG14280"
"1446","CG14285"
"1447","CG14286"
"1448","CG14291"
"1449","CG14292"
"1450","CG14299"
"1451","CG14317"
"1452","CG14321"
"1453","CG14322"
"1454","CG1434"
"1455","CG14341"
"1456","CG14346"
"1457","CG14352"
"1458","CG14353"
"1459","CG14367"
"1460","CG14372"
"1461","CG14395"
"1462","CG1440"
"1463","CG14407"
"1464","CG14408"
"1465","CG14410"
"1466","CG14411"
"1467","CG14414"
"1468","CG14427"
"1469","CG14431"
"1470","CG14434"
"1471","CG14435"
"1472","CG14438"
"1473","CG1444"
"1474","CG14441"
"1475","CG14442"
"1476","CG14446"
"1477","CG14450"
"1478","CG14451"
"1479","CG14457"
"1480","CG14459"
"1481","CG14463"
"1482","CG14464"
"1483","CG14476"
"1484","CG14478"
"1485","CG14480"
"1486","CG14482"
"1487","CG14483"
"1488","CG14490"
"1489","CG14502"
"1490","CG14508"
"1491","CG14509"
"1492","CG14511"
"1493","CG14512"
"1494","CG14516"
