,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
64,573,307,572,612,647,648,3026,685,571,611
65,2857,2894,2856,2858,2896,2889,2855,2890,2900,2898
66,1364,1365,1062,1024,1150,1100,1061,1366,1440,1118
67,2857,2856,2862,2858,2864,2819,2795,2783,2867,2790
68,2909,2867,2920,2910,2907,2914,2911,2833,2868,2915
69,823,822,1396,1158,1115,1095,1166,3008,1124,1365
70,2759,2642,2641,2720,2857,2640,2716,2727,2795,2756
71,1134,1365,1364,1158,1124,1133,1402,1135,1125,1095
72,2641,2642,2640,2939,2727,2720,2603,2964,2725,2726
73,2388,2857,137,132,2640,58,2341,2682,2381,514
74,1365,1396,1391,1402,1364,1357,1124,1115,1158,1116
75,2857,2856,2894,2858,2896,2900,2890,2889,212,2855
76,1055,1134,1359,1094,1133,1396,1158,1093,1179,1124
77,1391,1353,1357,1396,3004,1390,1355,1356,2381,1118
78,2642,2641,2640,2939,2727,2720,2716,2603,2638,2721
79,2642,2603,772,736,1391,774,2640,770,771,1353
80,1391,1357,1353,1396,1355,1356,3004,1390,1398,1364
81,1055,1396,1158,1124,1357,1359,1118,1083,1115,1398
82,2857,2856,2858,2819,2862,2795,2867,2894,2864,2900
83,1364,1365,1134,1158,1124,1357,1055,1402,1359,1179
84,1391,1396,1357,1353,1364,1118,1365,1116,1124,1158
85,2759,2795,2857,2856,2910,2862,2756,2835,2864,2760
86,2857,2856,2858,2894,2855,2896,2889,2900,2890,2853
87,1365,1134,1402,1133,1364,1063,1124,1158,1115,1099
88,1365,1134,1364,1158,1124,1402,1133,1357,1359,1115
89,2640,2388,2726,2682,2857,2642,2381,2341,2601,2856
90,1396,1365,1402,2977,1055,1115,1124,1133,1359,1166
91,2857,2856,2894,2858,2896,2900,2889,2890,2854,2855
92,1134,1365,1364,1402,1133,1158,1124,1185,1366,1357
93,823,2857,132,137,2856,5,130,129,59,164
94,2857,2889,2896,2894,2858,2856,2895,2900,2898,2855
95,610,1179,609,3026,571,534,533,572,1134,611
96,2894,2896,2889,2895,2898,2900,2891,2858,2855,2857
97,1391,1353,1357,1355,1396,1356,1390,3004,1078,2381
98,1055,609,1094,571,1398,533,1056,1359,1740,3026
99,1391,1353,1357,1396,1355,1356,3004,1390,1387,1392
100,2641,2727,2720,2759,2640,2642,2716,2718,2677,2939
101,823,822,860,1166,824,1125,2977,1158,859,2417
102,1391,1353,1357,1355,1356,1396,3004,1390,1387,1382
103,609,1396,571,1740,533,1398,685,3026,610,1055
104,1158,1055,1396,1124,1092,1118,1083,1120,1357,1087
105,1134,1365,1364,1158,1124,1133,1402,1115,1366,1135
106,1391,1396,1353,736,774,775,1357,1078,737,738
107,2857,2894,2856,1134,2858,2889,2896,2898,2900,1365
108,1134,1133,1365,1095,1063,1099,1402,1135,1100,1179
109,2857,58,129,5,514,56,137,164,2856,132
110,1391,1353,1357,1390,3004,1355,1356,1396,1693,1678
111,610,609,3026,571,534,533,648,572,647,611
112,1391,1353,1357,1390,3004,1396,1355,1356,1392,1118
113,1134,1365,1133,1063,1158,1124,1100,1135,1099,1364
114,610,609,3026,571,534,533,648,647,572,611
115,1391,1353,1357,1355,1356,1390,3004,1396,1392,1387
116,212,172,210,171,209,133,2857,246,174,207
117,1055,1094,609,1359,1092,1093,571,137,533,1056
118,1158,1359,1396,1055,1134,1133,1116,1124,1119,1115
119,1134,1365,1133,1364,1135,1063,1100,1158,1402,1099
120,2641,2727,2720,2939,2640,2759,2642,2716,2718,2677
121,1134,1365,1133,1063,1402,1099,1095,1135,1102,1364
122,1740,1398,609,3008,943,610,571,533,1056,3026
123,1134,1365,1158,1133,1124,1402,1125,1115,2977,1063
124,1391,1396,1353,1393,1325,1357,1428,608,1355,1363
125,1365,1396,1124,1364,1402,1158,1118,1391,1115,1357
126,610,609,3026,571,534,533,648,647,572,611
127,1134,1133,1365,1158,1364,1359,1095,1185,1402,1194
128,2388,2540,823,2351,2341,2502,2423,130,129,2462
129,1391,1353,1357,1355,1356,1390,1396,770,636,670
130,2939,2964,2642,2638,2603,2601,2636,2643,2598,2559
131,1055,1359,1364,1396,1365,1357,1398,1134,1124,1158
132,1364,1365,1158,1134,1357,1124,1402,1115,1396,1359
133,823,822,775,736,738,814,670,636,811,777
134,2857,2856,2894,2858,2896,2889,2855,2900,2854,2898
135,1134,1133,1365,1063,1095,1135,1100,1158,1364,1124
136,1391,772,1353,774,736,1396,770,771,1422,1357
137,100,21,19,17,13,61,9,4,10,8
138,1391,1353,1357,1364,1396,1116,1118,1355,3004,1356
139,2889,2891,2895,2896,570,2894,2890,2854,2898,2855
140,2642,2641,2640,2939,2727,2603,2725,2595,2720,2722
141,1391,1353,1390,3004,941,2379,1356,2380,2341,1392
142,1365,1402,1166,1063,1101,2977,1396,1115,1440,1471
143,1391,1353,1396,1357,3004,1078,1118,1355,1356,1120
144,1134,1365,1133,1063,1101,1099,1402,1098,1102,1095
145,2720,2718,2727,2677,2641,2759,2719,2716,2721,2636
146,2857,2867,2856,2795,2858,2909,2859,2864,2868,2823
147,823,822,89,1470,860,1469,1471,127,128,88
148,660,49,772,43,2892,164,129,582,2890,5
149,1365,2977,1402,1133,1099,1396,1063,1166,1134,1101
150,3008,943,1398,1361,1740,1323,1359,2759,1322,1057
151,1055,1396,1740,1398,1359,1056,1092,3008,1357,799
152,1134,1365,1364,1133,1158,1402,1124,1135,1179,1063
153,2857,2889,2894,2856,2896,2858,2855,2900,2898,2895
154,608,570,2202,526,492,604,527,1482,566,531
155,1391,1396,736,1353,774,772,1740,1357,770,1398
156,2720,2642,2640,2641,2941,2727,784,2939,783,785
157,1134,1365,1133,1063,1099,1135,1402,1102,1100,1137
158,1391,1353,1390,1356,3004,1357,1392,1048,1693,1355
159,1134,1365,1364,1133,1158,1124,1402,1179,1135,1185
160,2856,2909,2867,134,2857,130,93,132,241,215
161,1391,1353,1357,1396,1355,1356,1364,3004,1390,1118
162,136,137,164,130,129,93,94,49,98,88
163,1422,1423,1391,1383,1396,1353,1387,1347,1385,1426
164,1158,1134,1194,1365,1185,1133,1153,1345,1195,1125
165,2894,2857,2889,2896,2856,2858,2900,2891,2855,2890
166,1158,1124,1118,1364,1357,1115,1116,1391,1365,1396
167,2949,1380,1640,1412,1377,1679,1375,1678,1601,1416
168,2857,2856,2858,2894,2867,2859,2864,2862,2896,2909
169,1158,1115,1365,1402,1116,1440,1134,1151,1364,1118
170,1391,1353,1396,1357,3004,774,736,1390,1398,770
171,609,610,571,572,3026,533,573,685,534,2836
172,1391,1353,1357,1396,3004,1390,1355,1356,1392,1013
173,2795,2835,2791,2836,2790,2749,2792,2831,2910,2830
174,5,58,52,21,19,60,56,2976,100,8
175,1365,1402,1134,1364,1133,1158,1185,1366,1124,1151
176,2642,2641,2727,2939,2640,2603,2759,2720,2595,1391
177,2857,2856,2858,2894,2867,2859,2864,2896,2862,2900
178,2642,2759,2641,2640,2716,2720,2603,2727,2939,2638
179,943,3008,1398,609,1740,1361,571,1323,1359,1057
180,2642,2641,2727,2640,2720,2603,2939,2759,2725,2638
181,2815,2852,73,2817,2818,149,2891,2816,2247,2775
182,610,307,534,3026,2889,609,2857,2855,496,346
183,2889,2857,2894,2896,2891,2895,2858,2855,2890,2898
184,610,609,571,3026,534,533,611,572,648,647
185,1115,1402,1325,1393,608,1363,1391,1116,1396,1118
186,2889,2894,2896,2895,2891,2898,2855,2900,2857,2858
187,2889,2894,2891,2857,2890,2896,2895,2854,2856,2898
188,1134,1365,1364,1133,1158,1124,1402,2977,1185,1125
189,1055,1093,1130,1092,1094,1134,876,1091,1131,1397
190,1391,1353,3004,774,1357,671,770,1396,1390,1116
191,609,610,571,3026,533,572,534,573,685,648
192,1134,1365,1133,1364,1158,1124,1402,1055,1135,1063
193,1365,2949,1364,1343,1359,1134,1357,1345,1185,1344
194,5,58,52,56,19,21,60,2976,137,100
195,1365,1134,1364,1124,1158,1402,1133,1179,1116,1115
196,609,1055,1094,571,533,1359,685,3026,610,572
197,1134,1365,1364,1124,1158,1402,1179,1118,1133,1116
198,1134,1365,1133,1063,1364,1402,1099,1135,1100,1124
199,1364,1365,1158,1124,1357,1134,1402,1391,1396,1115
200,5,660,49,2928,653,52,43,56,58,617
201,772,774,2759,49,2716,129,736,1422,164,660
202,2642,2603,2939,2640,772,736,2559,774,2601,1396
203,1055,1359,1094,1092,1093,1396,1134,1398,1397,1057
204,1391,1396,736,772,1353,774,770,1398,1740,671
205,2909,2867,2913,2864,2907,2920,2856,2903,2910,2904
206,1391,1353,1357,1364,1396,1116,1355,1356,3004,1118
207,1134,1365,1364,1133,1158,1402,1124,1185,1179,1135
208,609,610,571,3026,648,533,647,611,534,572
209,1398,3008,1359,1095,1057,1361,1133,1323,1055,1364
210,4,100,18,13,17,19,104,21,12,61
211,1134,1365,1063,1133,1099,1101,1098,1402,1440,1102
212,2862,2864,2831,2856,2868,2783,2866,2867,2791,2910
213,2759,2720,2760,2716,2795,1391,2677,2718,2727,2756
214,4,17,23,378,104,2974,2935,100,18,25
215,2857,2819,2858,2862,2856,2783,2864,2792,2749,2889
216,2889,17,4,104,185,2895,225,23,2818,29
217,1134,1133,1095,1359,1055,1365,1094,1057,1132,1364
218,2640,2642,2641,2939,2727,2720,2725,2603,2964,2643
219,660,772,58,5,2961,56,49,736,52,514
220,1364,1357,1391,1353,1365,1356,1355,1366,1377,1402
221,1158,1134,1364,1365,1357,1124,1402,1115,1125,1185
222,212,2388,172,210,171,209,133,2682,207,174
223,1134,1365,1158,1124,1364,1133,1402,1115,1063,1135
224,685,876,141,533,571,837,951,799,103,609
225,1364,1365,1402,1116,1124,1118,1366,1087,1158,1115
226,2326,1536,2403,43,2442,660,2448,41,2365,2404
227,2237,2199,642,2192,1922,1885,2352,2467,912,797
228,2759,2727,2720,2718,2677,2716,2641,2719,2756,2758
229,1343,1344,2949,1345,1382,1416,1375,1338,1380,1377
230,1391,1353,1357,1390,3004,1396,671,1356,1355,1387
231,1134,1365,1133,1158,1402,1364,1359,1115,1055,1135
232,1134,1365,1124,1364,1118,1402,1116,1158,1179,1061
233,1134,1135,1365,1133,1099,1158,1063,1100,1440,2977
234,100,58,52,19,138,137,21,13,2976,5
235,19,21,5,52,9,13,12,17,10,58
236,1364,943,1398,3025,980,1019,1118,981,1015,1323
237,1740,3004,943,2384,941,1398,1018,1322,1056,1391
238,609,571,533,610,3026,685,572,951,799,648
239,1391,1353,1357,1396,3004,1390,1740,1398,1356,1055
240,609,610,571,533,3026,572,951,573,648,685
241,5,492,531,570,61,19,60,2981,488,21
242,2889,2896,2895,2855,2900,2857,2858,2898,2854,2856
243,952,913,876,951,837,877,875,608,914,685
244,2857,2856,2858,2862,2819,2864,2783,2795,2790,2791
245,164,49,509,660,43,2892,582,58,56,52
246,1364,1365,1134,1402,1357,1158,1185,1124,1366,1115
247,609,533,571,685,1740,572,3026,1094,1056,1398
248,2913,2914,2864,2910,2867,2831,2862,2909,2917,2795
249,2247,2985,2021,2020,2246,2210,2207,2209,2018,2208
250,1134,1365,1133,1063,1099,1135,1100,1440,1061,1402
251,1365,1063,1101,1402,1098,1099,1133,1102,1440,2977
252,1134,610,1133,1095,1179,609,3026,571,534,1057
253,1055,609,1094,1359,571,1398,533,1057,3026,610
254,1391,1364,1116,1353,1357,1118,1365,1082,1158,1396
255,1391,1364,1357,1158,1396,1365,1116,1353,1124,1402
256,1374,1412,1338,1341,1336,1371,1335,1379,1303,2988
257,1365,1124,1364,1134,1402,1158,1115,1118,1396,1087
258,1364,1357,1365,1391,1396,1158,1124,1353,1359,1402
259,1391,1353,1357,1396,3004,1390,1355,1356,1118,1116
260,2077,2417,2116,2265,2305,3000,2991,2040,2264,2038
261,1391,1353,1693,3004,1390,1356,1357,1355,1730,1392
262,1134,1365,1100,1133,1135,1063,1099,1062,1061,1440
263,1391,1353,1357,1390,3004,1356,1078,1396,1355,1116
264,1116,1364,1115,1087,1158,1118,1082,1123,1109,1150
265,1101,1063,1099,1098,1102,1139,1064,1140,1059,1365
266,1134,1133,1365,1100,1063,1135,1099,1062,1061,1102
267,1365,2977,1063,1440,1125,1163,1135,1134,1099,1402
268,2836,2677,2792,2758,2718,2759,2731,2760,2766,2672
269,1391,1353,1357,1396,1390,3004,1355,1356,1387,1389
270,2889,2895,2894,2891,2896,2898,2855,2890,2857,2854
271,2640,2641,2642,2939,2964,2720,2727,2725,2638,2603
272,1740,1398,1056,1396,799,1055,3008,1359,1701,609
273,2720,2727,2641,2759,2716,2718,2640,2939,2677,2642
274,1391,1353,1396,1357,2381,3004,1118,1355,1356,1390
275,1391,1353,1357,1396,1118,1116,1364,3004,1355,1082
276,772,736,660,58,56,49,5,774,137,52
277,609,610,571,533,3026,572,685,1740,1398,534
278,609,610,571,533,3026,572,685,648,573,534
279,1391,1396,1357,1353,1355,1356,3004,1398,1158,1390
280,609,571,610,533,3026,572,685,137,648,573
281,823,822,2642,2640,784,2941,783,824,785,788
282,1055,1158,1124,1396,1134,1359,1115,1118,1365,1116
283,1055,1134,1133,1359,1095,1094,1396,1365,1158,1057
284,1391,1396,1357,1353,1740,775,670,736,738,636
285,2857,2856,2894,2858,2896,2900,2889,2855,2890,2859
286,609,610,571,1055,533,1094,3026,572,685,1359
287,2642,2640,2939,2603,2641,2559,2643,2599,2601,2727
288,1055,137,1094,1359,609,1092,1396,1398,1093,1056
289,1134,1365,1158,1124,1364,1133,1402,1115,1095,1125
290,1134,1365,1133,1364,1402,1124,1158,1063,1099,1095
291,610,609,571,3026,533,534,572,648,647,611
292,609,610,571,533,3026,572,534,648,611,647
293,1134,1365,1124,1158,1364,1133,1402,1115,1063,1118
294,1365,1364,1402,1124,1158,1396,1134,1115,1357,1391
295,1391,1396,1353,1357,1355,1356,736,3004,1118,1390
296,610,609,571,3026,533,572,648,534,647,611
297,736,772,1396,774,733,660,770,771,1391,609
298,1391,1357,1353,1396,1364,1118,1116,1124,1158,1082
299,1134,1133,1365,1095,1179,1364,1402,1158,1124,1359
300,1396,1391,1357,1419,1381,1387,2949,1353,1382,1345
301,1357,1396,1364,1359,1365,1391,1055,1398,1158,1124
302,1158,130,1055,132,1396,1120,1124,164,137,1115
303,1124,1364,1118,1158,1391,1116,1365,1357,1087,1082
304,1396,1365,1391,1124,1118,823,2381,1158,1115,1402
305,1134,1365,1133,1063,1099,1402,1135,1095,1100,1364
306,1391,1396,1353,1740,1357,1398,3004,3008,1390,1693
307,1396,1391,736,772,774,1353,2381,775,636,670
308,1134,1133,1158,1365,1125,1115,1095,1124,1063,1402
309,1396,1115,1158,1124,1357,1365,1391,1087,1402,1055
310,58,137,100,59,13,19,56,52,138,21
311,1391,1357,1364,1353,1396,1365,1124,1158,1355,1118
312,1365,1158,1124,1396,1115,1402,2977,1134,1125,1166
313,610,609,571,3026,533,572,648,534,647,573
314,137,138,100,58,52,19,21,65,5,2976
315,1134,1133,1365,1359,1095,1055,1364,1179,1158,1402
316,1134,1133,1365,1095,1158,1063,1124,1402,2977,1125
317,2857,2890,2889,2891,2894,2892,2856,2854,772,2853
318,1365,1158,1124,1364,1118,1396,1402,1115,1116,1134
319,1391,1396,1353,1398,1357,1740,1359,1055,1364,3008
320,1158,1124,1364,1116,1357,1396,1118,1391,1055,1115
321,1391,1353,1357,1396,1118,1116,1364,3004,1390,1355
322,1134,1365,1133,1364,1158,1124,1402,1135,1095,1063
323,1134,1133,1365,1095,1402,1158,1063,1124,1364,1099
324,610,609,571,3026,534,611,647,533,572,648
325,2857,2856,2795,2835,2756,2867,2910,2864,2759,2858
326,2857,2894,2856,2889,2939,2890,2891,2642,2858,2854
327,1134,1365,1133,1063,1099,1135,1100,1095,1402,1158
328,1391,1353,1396,1357,3004,2381,1390,774,1398,736
329,1396,1118,1124,1158,1365,1115,1116,1391,1402,1087
330,609,610,1179,571,3026,1055,1134,1359,533,1133
331,1391,1364,1357,1396,1124,1118,1158,1353,1116,1365
332,138,137,100,1365,1134,65,58,19,21,140
333,1134,1365,1133,1364,1158,1124,1402,1179,1135,1063
334,5,13,19,2857,21,12,58,100,9,52
335,1365,1134,1364,1158,1124,1402,1357,1133,1115,1359
336,609,610,571,533,1094,3026,1740,572,1057,1398
337,1365,1134,1133,1402,1063,1124,1099,1364,1061,1158
338,1134,1133,1365,1063,1099,1095,2977,1125,1135,1101
339,1391,1353,1357,1390,1356,1355,3004,1396,671,636
340,1396,1357,1115,246,284,1391,3008,1398,1359,282
341,2642,1391,736,2603,772,774,2941,814,2939,1353
342,608,570,5,2202,526,1166,1471,604,1482,1469
343,610,609,571,3026,533,534,611,572,647,648
344,1396,1357,1398,1092,1359,1056,1391,1355,1055,1356
345,1391,1353,1357,1396,1355,1390,3004,1356,1118,2381
346,1396,1391,823,822,736,1353,775,738,1357,670
347,609,571,533,610,685,3026,572,137,1055,573
348,1391,1396,1357,1353,3004,1398,1740,1390,1356,1282
349,1134,1133,1365,1095,1364,1158,1402,1124,1359,1185
350,823,2857,2894,822,2856,2896,2889,89,2858,2381
351,5,58,52,56,59,100,137,49,2976,8
352,1134,1133,1365,1095,1402,1158,1364,1359,3008,1124
353,1396,1398,1359,1357,1055,1391,1056,3008,1092,3004
354,1134,1133,1365,1158,1095,1402,1063,1099,1135,1124
355,1166,1195,2977,1365,1416,1402,1375,1345,1382,1344
356,1391,1396,774,772,1353,736,1116,1357,3004,1118
357,2642,2939,2641,2640,2716,2720,2603,2643,2721,2636
358,1365,1134,1402,1133,1364,1124,1158,1063,1099,1115
359,1364,1357,1365,1158,1124,1391,1396,1134,1402,1115
360,660,164,772,514,129,736,49,582,2726,552
361,2642,2939,2641,2640,2720,2643,2721,2716,2559,2638
362,1391,1364,1357,1116,1118,1353,1124,1396,1158,1365
363,660,164,772,49,129,56,2603,736,52,94
364,2642,2640,2641,2939,2603,2559,2727,2561,2643,2685
365,5,13,19,12,9,52,21,100,58,2981
366,100,21,19,138,61,1679,58,13,52,65
367,2642,2641,2640,2727,2939,2603,2599,2595,2720,2638
368,1365,1364,1134,1402,1158,1124,1133,1357,1115,1359
369,1391,1118,1396,1124,1364,1357,1116,1158,1087,1055
370,1158,1134,1124,1125,1115,1365,1133,1118,1121,1119
371,2641,2939,2640,2642,2727,2720,2603,2599,2725,2638
372,1365,1101,1402,1063,1166,1099,1098,2977,1133,1102
373,138,100,137,19,65,21,58,5,52,13
374,609,610,571,533,3026,572,1398,1055,685,1359
375,1396,1158,1391,736,772,774,1357,1120,1115,1118
376,772,1391,774,736,1396,1353,770,733,771,671
377,1365,1134,1063,1402,1099,1101,1133,1440,1098,1061
378,772,736,660,733,774,164,609,771,770,695
379,5,19,21,100,52,13,58,9,2976,8
380,2388,2462,2423,2726,2609,2536,2640,132,2347,2382
381,1134,1133,1365,1158,1124,1135,1125,1095,1402,1364
382,1357,1343,1344,1355,1356,1382,2949,1396,1359,1345
383,1357,1391,1364,1353,1396,1355,1356,1158,1365,1382
384,2857,2856,2894,2858,2896,2889,2855,2900,2898,2890
385,1134,1158,1133,1124,1365,1095,1115,1364,1125,1119
386,1134,1365,1133,1402,1185,1179,1364,1135,1158,1099
387,2381,2388,2341,710,2384,636,2382,2423,2383,2462
388,2939,2716,2603,129,164,49,130,2642,772,2941
389,2857,2890,2889,2891,2894,2856,2892,2854,2858,2896
390,1134,1365,1133,1364,1402,1158,1124,1063,1095,1099
391,100,13,19,5,21,12,9,138,8,61
392,1158,2759,2641,1116,2727,2642,2720,2640,1396,1118
393,1740,1396,1398,1056,1055,1359,799,2384,1391,1701
394,784,2941,2642,785,783,2640,822,2643,2641,2939
395,1134,1365,1133,1364,1402,1158,1135,1095,1063,1099
396,770,670,671,1391,2889,701,736,739,633,738
397,137,89,136,127,823,88,128,94,57,1470
398,129,772,660,164,1158,736,94,130,774,1120
399,5,52,58,100,19,59,56,21,13,2928
400,1134,1365,1133,1364,1063,1135,1402,1099,1100,1179
401,736,772,774,1391,1396,770,738,775,771,636
402,1134,1365,1158,1124,1133,1402,1364,1115,1151,1125
403,609,571,533,610,685,3026,572,573,648,137
404,570,566,2202,931,2089,894,1471,932,2086,2125
405,1391,1353,1396,774,736,772,770,1357,1390,771
406,2910,2867,2795,2914,2835,2909,2831,2856,2833,2857
407,1365,1134,1063,1133,1402,1099,1158,1124,1440,1101
408,609,610,571,3026,533,572,648,534,647,611
409,1391,1353,1078,1045,1005,1083,670,1355,775,1396
410,58,2857,5,137,56,2856,59,514,136,132
411,2857,5,137,49,164,2890,2856,58,129,2894
412,1365,1402,1063,1133,1095,1134,1101,1098,1440,1099
413,1134,1158,1125,1115,1119,1121,1129,1124,1163,1131
414,5,58,52,19,21,138,60,100,65,137
415,1416,1375,1382,1166,1377,1344,1381,1343,2949,1345
416,1391,1396,1353,1357,3004,1387,1398,1116,1390,1359
417,2910,2909,2867,2914,2857,2856,2869,2795,2835,2913
418,610,609,571,3026,534,611,647,573,648,2388
419,5,492,570,531,526,13,14,488,12,2981
420,2381,2261,1118,2262,1124,2301,1121,1125,2530,1115
421,137,138,100,58,59,5,19,56,52,140
422,1134,1158,1133,1124,1365,1115,1364,1125,1402,1152
423,1365,1134,1063,1133,1402,1099,1440,1101,2977,1098
424,5,52,58,56,49,660,2928,59,2976,19
425,2889,2857,100,138,2896,2894,2855,64,2858,2856
426,1391,1393,1363,1365,1325,1402,1416,1353,1377,1381
427,610,609,571,3026,533,534,572,648,647,611
428,2642,2603,2641,1391,2939,2640,2720,2727,2759,1396
429,610,609,571,3026,533,572,534,648,611,647
430,1134,1133,1125,2977,1166,1115,1163,1063,1158,1365
431,1396,1391,58,136,137,736,56,774,772,140
432,5,588,626,622,52,570,2928,40,531,492
433,1353,1391,1356,1390,1355,671,1352,3004,1392,1385
434,1166,1094,1133,1131,2977,1093,1095,1158,1168,2388
435,608,5,570,526,823,822,2202,1166,1471,604
436,1095,3008,1361,1057,1133,1398,215,2856,2857,132
437,1416,1375,2949,1377,1338,1344,1376,1343,1374,1382
438,1134,1095,1133,1365,1057,1402,1364,1132,1158,1063
439,1365,1364,1134,1402,1158,1124,1133,1359,1396,1115
440,1134,1365,1133,1063,1402,1099,1158,1135,1124,1364
441,1391,1353,1357,1355,1356,3004,1390,1396,1382,1392
442,2889,2857,2894,2896,2856,2895,2858,2855,2898,2891
443,609,610,571,533,3026,572,648,685,573,951
444,1158,1115,1120,1116,1082,1124,1083,1118,1087,1357
445,609,571,610,533,3026,572,685,951,648,573
446,1391,1364,1357,1116,1353,1118,1124,1396,1158,1082
447,609,571,533,610,3026,572,685,951,876,1055
448,609,571,137,533,572,685,610,3026,176,573
449,58,5,52,19,56,21,100,137,2976,59
450,1391,1353,1357,1364,1396,1355,1356,1118,3004,1116
451,1365,1134,1364,1158,1124,1402,1133,1115,1366,1357
452,1055,1359,1094,1398,1057,1095,1134,3008,1133,609
453,1398,3008,1391,3004,1323,943,1322,1396,1361,1353
454,1365,1134,1364,1185,1133,1402,1137,1260,1135,1194
455,1364,1365,1134,1402,1185,1366,1158,1357,1124,1400
456,772,736,1391,774,770,733,771,1353,806,1396
457,2857,2856,2858,2894,2896,2900,2855,2859,2862,2889
458,52,19,21,3008,1421,1431,56,426,1474,15
459,660,5,49,772,56,52,58,2928,43,653
460,610,609,571,3026,533,572,534,648,647,611
461,609,571,610,533,1055,3026,1094,572,685,1359
462,2642,2640,2939,2643,2641,2720,2721,2638,2603,2964
463,1391,1357,1083,1158,1118,775,1353,1082,1087,1396
464,2857,2856,2858,2640,132,2682,2862,2819,2864,129
465,1740,1396,799,1398,1056,1055,609,571,533,1391
466,2759,2720,2727,2642,2641,2718,2677,2716,2640,1116
467,2857,2894,2889,2856,2896,2858,2890,2891,2900,2855
468,610,648,3026,647,609,534,571,533,572,611
469,1391,774,1120,1078,1079,1353,130,1396,772,1082
470,610,609,3026,571,534,533,648,572,611,647
